DATETIME,DESCRIPTION
"Jan 13, 2024 | 02:45:20",Session Started
"Jan 13, 2024 | 02:51:50",Session Started
"Jan 13, 2024 | 02:52:23",Session Started
"Jan 13, 2024 | 02:56:17",Login UI Opened
"Jan 13, 2024 | 02:56:17",Session Started
"Jan 13, 2024 | 02:56:25",User logged in.
"Jan 13, 2024 | 02:57:51",Login UI Opened
"Jan 13, 2024 | 02:57:51",Session Started
"Jan 13, 2024 | 02:58:29",Session Stopped
"Jan 13, 2024 | 02:59:13",Session Started
"Jan 13, 2024 | 02:59:14",Login UI Opened
"Jan 13, 2024 | 02:59:32",Login: Please input all fields Error
"Jan 13, 2024 | 03:13:25",Session Started
"Jan 13, 2024 | 03:13:26",Signup UI opened.
"Jan 13, 2024 | 03:13:26",LandingUI opened.
"Jan 13, 2024 | 03:13:26",Login UI Opened
"Jan 13, 2024 | 03:13:32",User logged in.
"Jan 13, 2024 | 03:13:39",Unlocked Patient Editing.
"Jan 13, 2024 | 03:13:44",Unlocked Patient Editing.
"Jan 13, 2024 | 03:13:45",Cleared Patient Textboxes.
"Jan 13, 2024 | 03:13:52",Exported CSV.
"Jan 13, 2024 | 03:13:55",Export to CSV Cancelled.
"Jan 13, 2024 | 03:14:01",Add patient cancelled.
"Jan 13, 2024 | 03:14:03",Added Patient.
"Jan 13, 2024 | 03:14:11",Unlocked Patient Editing.
"Jan 13, 2024 | 03:14:18",Edited Patient.
"Jan 13, 2024 | 03:14:23",Unlocked Patient Editing.
"Jan 13, 2024 | 03:14:24",Cleared Patient Textboxes.
"Jan 13, 2024 | 03:14:24",Deleted Patient.
"Jan 13, 2024 | 03:14:30",Unlocked Patient Editing.
"Jan 13, 2024 | 03:14:31",Cleared Patient Textboxes.
"Jan 13, 2024 | 03:14:40",Generated Print Report.
"Jan 13, 2024 | 03:20:02",Session Started
"Jan 13, 2024 | 03:20:02",Signup UI opened.
"Jan 13, 2024 | 03:20:02",LandingUI opened.
"Jan 13, 2024 | 03:20:02",LogUI opened
"Jan 13, 2024 | 03:20:02",Login UI Opened
"Jan 13, 2024 | 03:20:08",User logged in.
"Jan 13, 2024 | 03:20:49",Session Started
"Jan 13, 2024 | 03:20:49",Signup UI opened.
"Jan 13, 2024 | 03:20:49",LandingUI opened.
"Jan 13, 2024 | 03:20:49",LogUI opened
"Jan 13, 2024 | 03:20:49",Login UI Opened
"Jan 13, 2024 | 03:20:57",User logged in.
"Jan 13, 2024 | 03:23:46",Session Started
"Jan 13, 2024 | 03:23:46",Signup UI opened.
